,name,price,link,Xuất xứ,Thời điểm ra mắt,Thời gian bảo hành,Kích thước,Trọng lượng sản phẩm,Chất liệu,Phiên bản CPU,Loại CPU,Số nhân,Tốc độ tối đa,RAM,Kích thước màn hình,Công nghệ màn hình,Chuẩn màn hình,Độ phân giải,Tần số quét,Loại cảm ứng,Độ sáng,Chip đồ hoạ (GPU),Dung lượng (ROM),Danh bạ lưu trữ,Thẻ nhớ ngoài,Hỗ trợ thẻ nhớ tối đa,Camera 1,Resolution,Resolution camera 1,Cảm biến,Bảo mật,Tính năng đặc biệt,Số khe SIM,Thẻ SIM,Hỗ trợ mạng,Cổng giao tiếp,Wifi,GPS,Bluetooth,Kết nối khác,Loại PIN,Dung lượng pin,Củ sạc kèm máy,OS,Version,Phụ kiện trong hộp,Chuẩn kháng nước / Bụi bẩn,Tỷ lệ diện tích sử dụng màn hình,CPU,Mật độ điểm ảnh,Bộ nhớ còn lại,Quay phim camera sau,Tính năng,Quay phim camera selfie,Loại RAM,Chất liệu mặt kính,Độ phủ màu,Độ tương phản,Số camera sau,Aperture,Camera 2,Số Camera Selfie,Thông tin thêm,Màu màn hình,Hướng dẫn bảo quản,Hướng dẫn sử dụng,Kích thước màn hình phụ,Camera 3,Resolution camera 2,Tỷ lệ màn hình,Pixel size,Thông báo LED,Camera 4,Độ sáng tối đa,Khẩu độ,Camera Selfie 1,Quay phim camera seflie,Resolution camera 3,Sensor,Làm mát,Pixel Size
10,Honor X7c 8GB 256GB,3.990.000đ,/dien-thoai/honor-x7c,Trung Quốc,11/2024,18 tháng,166.9 x 76.8 x 8.09 mm,194 g,Khung máy: NhựaMặt lưng máy: Nhựa giả da,Snapdragon 685,Octa-Core,8,2.8 GHz,8 GB,6.77 inch,LCD,HD+,720 x 1610 Pixels,120 Hz,Điện dung đa điểm,850 nits,Adreno 610,256 GB,Không giới hạn,MicroSD,1 TB,,2.0 MP,8.0 MP,Cảm biến trọng lựcCảm biến ánh sángCảm biến gia tốcCảm biến la bàn,Mở khóa vân tay,Đa cửa sổNeo điều hướngChụp ảnh bằng cử chỉ,2,2 Nano SIM,4G,Type C,802.11 a/b/g/n/acDual-band (2.4 GHz/ 5 GHz)Wi-Fi Direct,GPSA-GPSGLONASSBDSGALILEO,v5.0,OTG,Lithium polymer,6000 mAh,Sạc nhanh 35 W,Android,Android 14 (Magic OS 8.0),SạcQue lấy SIMỐp lưngCáp USB-A to USB-C,IP64,90%,4 x Cortex A73 2.8 GHz + 4 x Cortex A53 1.9 GHz,260 ppi,Khoảng 237 GB,FullHD 1080p@30fps,Ban đêm (Night Mode)Chế độ chân dungTrôi nhanh thời gian (Time lapse),Quay phim FullHD,,Kính cường lực,,,Double rear camera,ƒ/2.0,,Single selfie camera,,16.7 Triệu,,,,,,,,,,,,,,,,,
11,OPPO Find N6 5G 16GB 512GB,63.990.000đ,/dien-thoai/oppo-find-n6,Trung Quốc,03/2026,24 tháng,Mở: 159.87 x 145.58 x 4.21 mm - Gập: 159.87 x 74.12 x 8.93 mm,225 g,Mặt lưng máy: Sợi thủy tinhKhung máy: Hợp kim nhôm,Snapdragon 8 Elite Gen 5,,7,4.32 GHz,16 GB,8.12 inch,AMOLED,Đang cập nhật,2248 x 2480 Pixels,120 Hz,,1800 nits,Adreno 840,512 GB,,,,,50.0 MP,20.0 MP,Cảm biến gia tốcCảm biến tiệm cậnCảm biến la bànCảm biến vân tayCảm biến ánh sáng,,,1,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",5G,Cổng sạc: Type C,Wifi 6802.11 a/b/g/n/ac/ac wave 2/axWifi 7,GPSGLONASSGALILEOBEIDOUQZSSNavIC,v6.0,NFCOTG,Silicon carbon,6000 mAh,SuperVOOC 80W,Android,Android 16 (ColorOS 16),Cáp Type CỐp lưngQue lấy SIMSách HDSDSạcMiếng dán màn hình (Đã dán sẵn),"IPX6, IPX8, IPX9",,,,,,,,,,,,Quad rear camera,ƒ/2.4,,Double selfie camera,Hỗ trợ sạc không dâySạc siêu nhanh SuperVOOC,1 Tỷ,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,6.62 inch,,20.0 MP,,1.12 µm,,,,,,,,,,
12,Samsung Galaxy S26 5G 12GB 256GB,20.690.000đ,/dien-thoai/samsung-galaxy-s26,Việt Nam / Trung Quốc,03/2026,12 tháng,149.6 x 71.7 x 7.2 mm,167 g,Khung viền: Armor aluminum,Exynos 2600,,8,,12 GB,6.3 inch,Dynamic AMOLED 2X,FHD+,1080 x 2340 Pixels,120 Hz,,2600 nits,Đang cập nhật,256 GB,,,,Ống kính góc rộng,10.0 MP,12.0 MP,,Mở khóa vân tay dưới màn hìnhMẫu hìnhPINMật khẩuMở khóa khuôn mặt,Thực hiện tác vụ liên ứng dụng bằng lời nóiLọc âm thanhBiên tập Video thông minhKhoanh tròn để tìm kiếmTrợ lý cuộc gọiPhiên dịch viên trực tiếpChọn ảnh chân dung đẹp nhấtTrợ lý Chỉnh ảnhSạc nhanh 45W,2,2 Nano SIM Hoặc 2 eSIM  Hoặc 1 Nano SIM + 1 eSIM,2G5G3G4G,1 Type C,802.11 a/b/g/n,GPSBEIDOUQZSSGLONASSGALILEO,v5.3,NFC,Lithium-ion,4300 mAh,,Android,Android 16,Dây sạcSách HDSDQue lấy SIM,IP68,,,,,UHD 8K (7680 x 4320)@30fps,Tự động lấy nét (AF),,,Corning Gorilla Glass Victus 2,,,Triple rear camera,,Ống kính góc siêu rộng,,Chỉnh sửa ảnh thế hệ mớiKhông gian sáng tạoGợi ý thông minhKhoanh tròn để tìm kiếmLọc cuộc gọi tự độngProscaler & 10-bit mDNIe,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,Telephoto,,,,Có,,,,,,,,,
13,Samsung Galaxy S26 Plus 5G 12GB 256GB,24.690.000đ,/dien-thoai/samsung-galaxy-s26-plus,Việt Nam / Trung Quốc,03/2026,12 tháng,158.4 x 75.8 x 7.3 mm,190 g,Khung viền: Armor aluminum,Exynos 2600,,8,,12 GB,6.7 inch,Dynamic AMOLED 2X,FHD+,3120 x 1440 Pixels,120 Hz,,2600 nits,Adreno 830,256 GB,,,,Ống kính góc rộng,10.0 MP,12.0 MP,,Mở khóa vân tay dưới màn hìnhMẫu hìnhPINMật khẩuMở khóa khuôn mặt,Thực hiện tác vụ liên ứng dụng bằng lời nóiLọc âm thanhBiên tập Video thông minhKhoanh tròn để tìm kiếmTrợ lý cuộc gọiPhiên dịch viên trực tiếpChọn ảnh chân dung đẹp nhấtTrợ lý Chỉnh ảnhSạc nhanh 45W,2,2 Nano SIM Hoặc 2 eSIM  Hoặc 1 Nano SIM + 1 eSIM,2G5G3G4G,1 Type C,802.11 a/b/g/n,GPSBEIDOUQZSSGLONASSGALILEO,v5.3,NFC,Lithium-ion,4900 mAh,,Android,Android 16,Dây sạcSách HDSDQue lấy SIM,IP68,,,,,UHD 8K (7680 x 4320)@30fps,Tự động lấy nét (AF),,,Corning Gorilla Glass Victus 2,,,Triple rear camera,,Ống kính góc siêu rộng,,Proscaler & 10-bit mDNIeLọc cuộc gọi tự độngKhoanh tròn để tìm kiếmGợi ý thông minhKhông gian sáng tạoChỉnh sửa ảnh thế hệ mới,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,Telephoto,,,,Có,,,,,,,,,
14,Samsung Galaxy S26 Ultra 5G 12GB 256GB,30.990.000đ,/dien-thoai/samsung-galaxy-s26-ultra,Việt Nam / Trung Quốc,03/2026,12 tháng,163.6 x 78.1 x 7.9 mm,214 g,Khung viền: Armor aluminum,Snapdragon 8 Elite Gen 5,,8,,12 GB,6.9 inch,Dynamic AMOLED 2X,FHD+,3120 x 1440 Pixels,120 Hz,,2600 nits,Đang cập nhật,256 GB,,,,Camera siêu rộng,10.0 MP,12.0 MP,,Mở khóa khuôn mặtMật khẩuPINMẫu hìnhMở khóa vân tay dưới màn hình,Sạc nhanh 45WTrợ lý Chỉnh ảnhChọn ảnh chân dung đẹp nhấtPhiên dịch viên trực tiếpTrợ lý cuộc gọiKhoanh tròn để tìm kiếmBiên tập Video thông minhLọc âm thanhThực hiện tác vụ liên ứng dụng bằng lời nói,2,2 Nano SIM Hoặc 2 eSIM  Hoặc 1 Nano SIM + 1 eSIM,4G3G5G2G,1 Type C,802.11 a/b/g/n,GALILEOGLONASSQZSSBEIDOUGPS,v5.3,NFC,Lithium-ion,5000 mAh,,Android,Đang cập nhật,Que lấy SIMSách HDSDDây sạc,IP68,,,,,UHD 8K (7680 x 4320)@30fps,Tự tạo bộ lọcChọn ảnh chân dung đẹp nhất (Best Face)Sửa tạo sinh (Xóa và tạo ảnh chi tiết bù lại phần bị mất)Lọc âm thanh (Audio Eraser),,,Corning Gorilla Glass Victus 2,,,Quad rear camera,,Góc rộng,,Privacy Display (Chống nhìn trộm chủ động)Proscaler & 10-bit mDNIeLọc cuộc gọi tự độngKhoanh tròn để tìm kiếmGợi ý thông minhKhông gian sáng tạoChỉnh sửa ảnh thế hệ mới,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,Camera Tele (5x),,,,Có,Zoom quang 5x,,,,,,,,
15,iPhone 17 Pro Max 256GB,37.790.000đ,/dien-thoai/iphone-17-pro-max,Trung Quốc,09/2025,12 tháng,163.4 x 78 x 8.75 mm,231 g,Khung máy: Nhôm nguyên khốiMặt lưng máy: Ceramic Shield,Apple A19 Pro,12-Core,6,,12 GB,6.9 inch,OLED,Super Retina XDR,48.0 MP Fusion,120 Hz,,,Apple GPU 6 nhân,256 GB,,,,Main,,,Cảm biến khí áp kếCon quay hồi chuyểnCảm biến tiệm cậnLiDAR ScannerGia tốc kế lực G caoHai cảm biến ánh sáng môi trường xung quanh,Mở khóa bằng mật mãMở khóa khuôn mặt,Apple IntelligenceKhẩn cấpPhát hiện va chạm (Crash Detection),1,1 eSIM và 1 nano SIM Hoặc 2 eSIM,5G,Cổng sạc: Type C,Wifi 7,GALILEOGLONASSBEIDOUGPSQZSSNavIC,v5.3,NFC,Lithium-ion,37 Giờ,,iOS,iOS 26,Cáp USB-C to USB-CQue lấy SIMSách HDSD,IP68,,,460 ppi,,4K Dolby Vision @120fps1080p Dolby Vision @120fps720p Dolby Vision @30fps,Ban đêm (Night Mode)HDRChế độ chân dungTự động lấy nét (AF)ProRAWẢnh độngChống rung quang học,,,Ceramic Shield 2,,2.000.000:1,Triple rear camera,,Ultra Wide,Single selfie camera,Hỗ trợ sạc không dâySạc pin nhanh,,,,,Telephoto,,,,Có,,3000 nits,ƒ/1.9,18.0 MP Center Stage,1080p Dolby Vision @60fps4K Dolby Vision @60fps,,,,
16,Samsung Galaxy Z Fold7 5G 12GB 256GB,39.790.000đ,/dien-thoai/samsung-galaxy-z-fold7,Việt Nam / Trung Quốc,07/2025,12 tháng,158.4 x 143.2 x 4.2 mm,215 g,Đang cập nhật,Qualcomm Snapdragon 8 Elite,,8,,12 GB,8 inch,Dynamic AMOLED 2X,FHD+,2520 x 1080 Pixels,,,2600 nits,Adreno750,256 GB,Không giới hạn,,,Ống kính góc rộng,12.0 MP,10.0 MP,,Mở khóa vân tayMẫu hìnhPINMật khẩuMở khóa khuôn mặt,Google GeminiGemini LiveNow BarNow BriefKhoanh tròn tìm kiếmHỗ trợ cuộc gọiHỗ trợ viếtThực hiện liên tác vụ bằng giọng nói,1,"1 eSIM, 1 Nano SIM",2G3G4G5G,Cổng sạc: Type C,802.11 a/b/g/n,BEIDOUQZSSGPSGLONASSGALILEO,v5.3,NFC,Đang cập nhật,4400 mAh,Không,Android,Android 16,Que lấy SIMCáp Type CSách HDSD,IPX8,,,,,UHD 4K (3840 x 2160)@30fpsHD 240fps,Lọc âm thanh (Audio Eraser)Chọn ảnh chân dung đẹp nhất (Best Face),,,Corning Gorilla Glass Victus 2,,,Triple rear camera,,Tele,,Wireless PowerShareFast Wireless Charging 2.0Super Fast Charging,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,Ống kính góc siêu rộng,12.0 MP,,,,,,,,,10.0 MP,,,
17,OPPO Reno15 F 5G 8GB 256GB,11.690.000đ,/dien-thoai/oppo-reno15-f,Trung Quốc,2025,12 tháng,158.18 x 74.93 x 8.27 mm,202 g,"Mặt lưng máy: Kính (Xanh nhạt) / Nhựa Valvet ( Hồng, Xanh dương)Khung viền: Nhựa",Qualcomm Snapdragon 6 Gen1,Octa-Core,8,2.2 GHz,8 GB,6.57 inch,AMOLED,FHD+,1080 x 2372 Pixels,120,,1400 nits,Adreno 710,256 GB,,,2 TB,Chính,2.0 MP,50.0 MP,,,AI Mind Space( Tiếng Việt)Ghi âm AISoạn thảo văn bản AI,1,Dual nano-SIM hoặc 1 nano-SIM + 1 thẻ nhớ,5G,Type C,Dual-band (2.4 GHz/ 5 GHz)802.11 a/b/g/n/ac,GPSGLONASSGALILEOQZSSBDS,v5.1,"OTGNFCChia sẻ 1 chạm (O,A)",Lithium polymer,7000 mAh,SuperVOOC 80W,Android,Android 16,Que lấy SIMCáp Type CCủ sạc,"IP66, IP68, IP69",,,,,,Quay video hiển thị képOne-shot liền mạchChân dung Flash AICân chỉnh ánh sáng chân dungXóa vật thể AIAI popout (ảnh tĩnh),,,Kính cường lực AGC DT Star D+,,,Triple rear camera,ƒ/2.1,Ultra Wide,Single selfie camera,,1 Tỷ,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,Macro lens,,,,,,,,,,,,,
18,Xiaomi Redmi Note 15 6GB 128GB,5.290.000đ,/dien-thoai/xiaomi-redmi-note-15,Trung Quốc,01/2026,18 tháng,164 x 75.42 x 7.40  mm,183.7 g,Mặt lưng máy: Nhựa cao cấpKhung máy: Nhựa,MediaTek Helio G100-Ultra,Octa-Core,8,,6 GB,6.77 inch,AMOLED,FHD+,2392 x 1080 Pixels,120,,3200 nits,Adreno 710,128 GB,,MicroSD,,Wide,2.0 MP,20.0 MP,Cảm biến tiệm cậnCon quay hồi chuyểnCảm biến la bànCảm biến gia tốcCảm biến vân tay,Mở khóa khuôn mặtMở khóa vân tay dưới màn hình,Chống va đậpTính năng AI,2,2 Nano SIM,4G,Cổng sạc: Type C,,BDSQZSSGALILEOGLONASSGPS,v5.1,Hồng ngoạiOTGNFC,Silicon carbon,6000 mAh,Sạc nhanh 33 W,Android,Android 15 (HyperOS 2),Ốp lưngSạcCápSách HDSDQue lấy SIM,IP64,,,,,1080p@30/60fps720p@30fps,HDRFlash LEDToàn cảnh (Panorama),1080p@30fps,LPDDR4X + UFS 2.2,Xiaomi Dragon Crystal Glass,DCI-P3 wide color gamut,,Double rear camera,ƒ/2.2,Ống kính phụ trợ,Single selfie camera,,,,,,,,,,,,,,,,,,,
19,iPhone 17 256GB,24.490.000đ,/dien-thoai/iphone-17,Trung Quốc,09/2025,12 tháng,149.6 x 71.5 x 7.95 mm,177 g,Khung máy: Nhôm nguyên khốiMặt lưng máy: Kính pha màu,Apple A19,12-Core,6,,8 GB,6.3 inch,OLED,Super Retina XDR,48.0 MP Fusion,120 Hz,,,Apple GPU 5 nhân,256 GB,,,,Main,,,Cảm biến khí áp kếCon quay hồi chuyểnCảm biến tiệm cậnFace IDGia tốc kế lực G caoHai cảm biến ánh sáng môi trường xung quanh,Mở khóa bằng mật mãMở khóa khuôn mặt,Apple IntelligenceKhẩn cấpPhát hiện va chạm (Crash Detection),1,1 eSIM và 1 nano SIM Hoặc 2 eSIM,5G,Cổng sạc: Type C,Wifi 7,GLONASSGALILEOQZSSBEIDOUGPSNavIC,v5.3,NFC,Lithium-ion,30 Giờ,,iOS,iOS 26,Cáp USB-C to USB-CQue lấy SIMSách HDSD,IP68,,,460 ppi,,4K Dolby Vision @120fps1080p Dolby Vision @120fps720p Dolby Vision @30fps,Tự động lấy nét (AF)Chế độ chân dungBan đêm (Night Mode)Ảnh độngChống rung quang học,,,Ceramic Shield 2,,2.000.000:1,Double rear camera,,Ultra Wide,Single selfie camera,Hỗ trợ sạc không dâySạc pin nhanh,,,,,,,,,Có,,3000 nits,ƒ/1.9,18.0 MP Center Stage,4K Dolby Vision @60fps1080p Dolby Vision @60fps,,,,
20,Honor X9d 5G 8GB 256GB,10.190.000đ,/dien-thoai/honor-x9d,Trung Quốc,12/2025,24 tháng,161.9 x 76.1 x 7.76 mm,193 g,Khung máy: Nhựa,Snapdragon 6 Gen 4,Octa-Core,8,,8 GB,6.79 inch,AMOLED,AMOLED,1200 x 2640 pixels,120,Điện dung đa điểm,6000 nits,Adreno 810,256 GB,,,,Wide,5.0 MP,16.0 MP,Cảm biến tiệm cậnHai cảm biến ánh sáng môi trường xung quanhCảm biến gia tốcCảm biến la bànCon quay hồi chuyểnCảm biến trọng lực,Mở khóa vân tay,,2,2 Nano SIM,5G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz)802.11 a/b/g/n/ac802.11 ax,GALILEOGLONASSBEIDOUA-GPSGPS,v5.2,NFCOTG,Silicon carbon,8300 mAh,Sạc nhanh 66W,Android,Android 15 (MagicOS 9),Ốp lưngCủ sạcDây cáp sạc,IP69K,91%,1 x Cortex A720 2.3 GHz + 3 x Cortex A720 2.2 GHz + 4 x Cortex A520 1.8 GHz,425 ppi,,4K 1080p@30fps,Chụp bằng cử chỉHẹn giờ chụp tự độngTự tạo bộ lọcChế độ chân dung,Quay phim 4K,,Kính aluminosilicat,100% DCI-P3,,Double rear camera,ƒ/2.45,Ultra Wide,Single selfie camera,,1.07 tỷ,,,,,,,,,,,,,,,,,
21,Samsung Galaxy S25 Ultra 5G 12GB 256GB,26.490.000đ,/dien-thoai/samsung-galaxy-s25-ultra,Việt Nam,01/2025,12 tháng,162.8 x 77.6 x 8.2 mm,218 g,Khung viền: TitaniumMặt lưng máy: Kính cường lực,Snapdragon 8 Elite,,8,,12 GB,6.9 inch,Dynamic AMOLED 2X,2K,3120 x 1440 Pixels,120 Hz,,2600 nits,,256 GB,Không giới hạn,Không,,,10.0 MP,12.0 MP,,Mở khóa vân tay dưới màn hình,Thực hiện tác vụ liên ứng dụng bằng lời nóiBiên tập Video thông minhLọc âm thanhKhoanh tròn để tìm kiếmChọn ảnh chân dung đẹp nhấtPhiên dịch viên trực tiếpTrợ lý cuộc gọiTrợ lý Chỉnh ảnhSạc nhanh 45W,2,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",5G3G4G2G,1 Type C,Có,GPS,Có,NFC,Lithium-ion,5000 mAh,,Android,Android 15,Que lấy SIMDây cáp sạcSách HDSD,IP68,,,,,UHD 8K (7680 x 4320)@30fpsFullHD 1080p@240fpsFullHD 1080p@120fps,Tự động lấy nét (AF),,,Corning Gorilla Armor 2,,,Quad rear camera,,,Single selfie camera,,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,,,,,,,,,,,,,,
22,Xiaomi Poco X7 5G 12GB 512GB,7.990.000đ,/dien-thoai/xiaomi-poco-x7,Trung Quốc,2025,18 tháng,162.3 x 74.4 x 8.4 mm,185.5 g,Khung máy: NhựaMặt lưng máy: Nhựa cao cấp,MediaTek Dimensity 7300-Ultra,Octa-Core,8,2.5 GHz,12 GB,6.67 inch,AMOLED,1.5K,2712 x 1220 Pixels,120 Hz,,3000 nits,Mali-G615 MC2,512 GB,,Không,,Wide,2.0 MP,20.0 MP,Cảm biến tiệm cậnHai cảm biến ánh sáng môi trường xung quanhCảm biến gia tốc kếCảm biến la bànHồng ngoạiCon quay hồi chuyểnĐộng cơ tuyến tính trục X,Mở khóa vân tay dưới màn hìnhMở khóa khuôn mặt,Google GeminiLoa képHồng ngoại,2,2 Nano SIM,5G,Cổng sạc: Type C,Wifi 6,GPSGLONASSBDSGALILEOQZSS,v5.4,NFCOTG,Lithium polymer,5110 mAh,Sạc nhanh 45 W,Android,Android 14 (Hyper OS),Củ sạcCáp USB Type CQue lấy SIMỐp lưngSách HDSD,IP68,,,,,1080p@60fps1080p@30fps4K@24/30fps720p@30fps,Làm đẹp (Beautify)Ban đêm (Night Mode)Chế độ chân dungChụp ảnh bằng lòng bàn tay,1080p@30/60fps720p@30fps,LPDDR4X,Corning Gorilla Glass Victus 2,100% DCI-P3,5.000.000 : 1,Triple rear camera,ƒ/2.2,Telephoto,Single selfie camera,Sạc pin nhanh,,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,Macro lens,,,,,,,,,,,,,
23,Samsung Galaxy A17 8GB 128GB,5.190.000đ,/dien-thoai/samsung-galaxy-a17,Việt Nam / Trung Quốc,08/2025,12 tháng,164.4 x 77.9 x 7.5 mm,192 g,Đang cập nhật,MediaTek Helio G99,Octa-Core,8,,8 GB,6.7 inch,Super AMOLED,FHD+,1080 x 2340 Pixels,90 Hz,,800 nits,Adreno 830,128 GB,,,,,2.0 MP,13.0 MP,,Mở khóa vân tayMẫu hìnhPINMật khẩuMở khóa khuôn mặt,,1,2 Nano SIM,,Type C,802.11 a/b/g/n,BEIDOUQZSSGPSGALILEOGLONASS,v5.3,NFC,Lithium polymer,5000 mAh,,Android,Android 15,Que lấy SIMCáp Type CSách HDSD,IP54,,,,,1080p@30fps,Xóa phôngTự động lấy nét (AF)Làm đẹp (Beautify),,,Corning Gorilla Glass Victus 2,,,Triple rear camera,,,,,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,,,,,,,,,,,,,,
24,Honor X7d 8GB 128GB,5.990.000đ,/dien-thoai/honor-x7d,Trung Quốc,11/2025,24 tháng,166.89 x 76.8 x 8.24 mm,208 g,Mặt lưng máy: NhựaKhung máy: Nhựa,Snapdragon 685,Octa-Core,8,,8 GB,6.77 inch,TFT LCD,HD+,720 x 1610 Pixels,120 Hz,Điện dung đa điểm,850 nits,Adreno 610,256 GB,,,,,2.0 MP,8.0 MP,Cảm biến tiệm cậnCảm biến la bànCảm biến gia tốcCảm biến ánh sángCảm biến trọng lực,Mở khóa vân tay,,2,2 Nano SIM,4G,Type C,Dual-band (2.4 GHz/ 5 GHz)802.11 a/b/g/n/ac,GALILEOBDSGLONASSA-GPSGPS,v5.0,NFC,Lithium polymer,6500 mAh,Sạc nhanh 35 W,Android,Android 15,,IP65,,4 x Cortex A73 2.8 GHz + 4 x Cortex A53 1.9 GHz,,,FullHD 1080p@30fps,HDRLàm đẹp (Beautify),1080p@30fps,,,,,Double rear camera,ƒ/2.0,,Single selfie camera,,16.7 Triệu,,,,,,,,,,,,,,,,,
25,iPhone 17 Pro 256GB,34.690.000đ,/dien-thoai/iphone-17-pro,Trung Quốc,09/2025,12 tháng,150 x 79.1 x 8.75 mm,204 g,Khung máy: Nhôm nguyên khốiMặt lưng máy: Ceramic Shield,Apple A19 Pro,12-Core,6,,12 GB,6.3 inch,OLED,Super Retina XDR,48.0 MP Fusion,120 Hz,,,Apple GPU 6 nhân,256 GB,,,,Main,,,Cảm biến khí áp kếCon quay hồi chuyểnCảm biến tiệm cậnHai cảm biến ánh sáng môi trường xung quanhFace IDGia tốc kế lực G caoLiDAR Scanner,Mở khóa bằng mật mãMở khóa khuôn mặt,Apple IntelligenceKhẩn cấpPhát hiện va chạm (Crash Detection),1,1 eSIM và 1 nano SIM Hoặc 2 eSIM,5G,Cổng sạc: Type C,Wifi 7,GALILEOGLONASSBEIDOUGPSQZSSNavIC,v5.3,NFC,Lithium-ion,31 Giờ,,iOS,iOS 26,Cáp USB-C to USB-CQue lấy SIMSách HDSD,IP68,,,460 ppi,,4K Dolby Vision @120fps720p Dolby Vision @30fps1080p Dolby Vision @120fps,Ban đêm (Night Mode)HDRChế độ chân dungTự động lấy nét (AF)ProRAWẢnh độngChống rung quang học,,,Ceramic Shield 2,,2.000.000:1,Triple rear camera,,Ultra Wide,Single selfie camera,Hỗ trợ sạc không dâySạc pin nhanh,,,,,Telephoto,,,,Có,,3000 nits,ƒ/1.9,18.0 MP Center Stage,1080p Dolby Vision @60fps4K Dolby Vision @60fps,,,,
26,Xiaomi Redmi 13x 8GB 128GB,3.690.000đ,/dien-thoai/xiaomi-redmi-13x,Trung Quốc,03/2025,18 tháng,168.8 x 76.3 x 8.3 mm,198 g,Khung máy: NhựaMặt lưng máy: Nhựa,MediaTek Helio G91 Ultra,Octa-Core,8,2 GHz,8 GB,6.79 inch,IPS LCD,FHD+,1080 x 2460 Pixels,90 Hz,Điện dung đa điểm,550 nits,Mali-G52 MC2,128 GB,,MicroSD,1 TB,Wide,2.0 MP,13.0 MP,Cảm biến vân tayCảm biến gia tốcCảm biến la bànCảm biến tiệm cận,Mở khoá vân tay cạnh viềnMở khóa khuôn mặtMật khẩu,Ghi âm cuộc gọi,2,2 Nano SIM,4G,Cổng sạc: Type C,,BDSGALILEOGLONASSGPS,v5.4,OTGHồng ngoại,Lithium polymer,5030 mAh,Sạc nhanh 33 W,Android,Android 14 (Hyper OS),CápSạcỐp lưngSách HDSDQue lấy SIM,IP53,,,396 ppi,,1080p@30fps720p@30fps,Xóa phôngTrôi nhanh thời gian (Time lapse)HDRBan đêm (Night Mode),1080p@30fps,LPDDR4X,Corning Gorilla Glass 3,70% NTSC,,Double rear camera,ƒ/2.45,Macro lens,Single selfie camera,Sạc pin nhanh,,,,,,,,,,,,,,,,,,
27,Samsung Galaxy A07 4GB 128GB,3.390.000đ,/dien-thoai/samsung-galaxy-a07,Việt Nam / Trung Quốc,08/2025,12 tháng,167.4 x 77.4 x 7.6 mm,184 g,Đang cập nhật,MediaTek Helio G99,Octa-Core,8,,4 GB,6.7 inch,PLS LCD,HD+,720 x 1600 Pixels,90 Hz,,480 nits,Adreno 830,128 GB,,,,,2.0 MP,8.0 MP,,Mở khóa khuôn mặtMật khẩuPINMẫu hìnhMở khóa vân tay,,1,2 Nano SIM,,Type C,802.11 a/b/g/n,GLONASSGALILEOGPSQZSSBEIDOU,v5.3,,Lithium polymer,5000 mAh,,Android,Android 15,Sách HDSDCáp Type CQue lấy SIM,IP54,,,,,FullHD 1080p@240fps,Làm đẹp (Beautify)Tự động lấy nét (AF)Xóa phông,,,Corning Gorilla Glass Victus 2,,,Double rear camera,,,,,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,,,,,,,,,,,,,,
28,OPPO Find X9 5G 12GB 256GB,22.690.000đ,/dien-thoai/oppo-find-x9,Trung Quốc,10/2025,24 tháng,156.98 x 73.93 x 7.99 mm,203 g,Mặt lưng máy: Kính cường lựcKhung viền: Hợp kim nhôm,Dimensity 9500,Octa-Core,8,4.21 GHz,12 GB,6.59 inch,AMOLED,1.5K+,1256 x 2760 Pixels,120,,3600 nits,ARM Mali Drage MC12,256 GB,,,,Chính,2.0 MP,32.0 MP,Cảm biến vân tay,,,2,Dual nano-SIM hoặc 1 nano-SIM + 1 thẻ nhớ,5G,Type C,Wifi 6Dual-band (2.4 GHz/ 5 GHz)802.11 a/b/g/n/ac/ax,,v6.0,OTGNFC,Silicon carbon,7025 mAh,SuperVOOC 80W,Android,Android 16,Que lấy SIMCáp Type CCủ sạcSách HDSDVỏ bảo vệMiếng dán màn hình (Đã dán sẵn),"IP66, IP68, IP69",,,460 ppi,,,,,,,,,Quad rear camera,ƒ/2.4,Góc rộng,Single selfie camera,Hỗ trợ sạc không dây,1 Tỷ,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,Tele tiềm vọng,,,,,Multispectral,,,,,,LYT-600,,
