name;price;display_size;display_tech;back_cam;front_cam;CPU;NFC;RAM;storage_cap;battery;SIM;resolution;screen_func;os;Loại CPU;size;weight;material;refresh_rate;GPU;external_storage;waterproof;max_charging;security;external_stoage
iphone 15;18090000.0;6.1 inches;Super Retina XDR OLED;Chính 48 MP & Phụ 12 MP;12MP, ƒ/1.9;Apple A16 Bionic 6 nhân;Có;6 GB;128 GB;3349 mAh;2 SIM (nano‑SIM và eSIM);2556 x 1179 pixels;Dynamic Island HDR display True Tone Wide color (P3) Haptic TouchLớp phủ oleophobia chống dấu vân tayĐộ sáng tối đa: 2000 nitsMặt kính cảm ứng: Kính cường lực Ceramic ShieldTần số quét 60 Hz;iOS 17;CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện;Dài 147.6 mm - Ngang 71.6 mm - Dày 7.8 mm - Nặng 171 g;;Khung nhôm & Mặt lưng kính cường lực;;Apple GPU 5 nhân;;IP68;20 W;Mở khoá khuôn mặt Face ID;
samsung galaxy z fold7;41990000.0;8.0 inches;Dynamic AMOLED 2X;200 MP, F1.7 + 12 MP, F2.2 + 10 MP, F2.4;10MP, F2.2;Snapdragon® 8 Elite 3nm for Galaxy;Có;12 GB;256 GB;4400mAh;2 Nano-SIM;2520 x 1080 Pixels;"Tần số quét: 120 HzĐộ phân giải màn hình chính: 2184 x 1968 (QXGA+)Kích cỡ màn hình phụ: 6.5""Độ phân giải màn hình phụ: 2520 x 1080 (FHD+)Độ sâu màu sắc: 16M";Android;8 nhân, 4.47GHz, 3.5GHz;158.4 x 143.2 x 4.2 mm;215 g;Đang cập nhật;;Adreno750;;IPX8;25 W;Mở khoá vân tay cạnh viền;
oppo reno15;0.0;6.59 inches;AMOLED;Chính 50MP f/1.8 (OIS) + Telephoto 50MP f/2.8 (OIS) + Góc siêu rộng 8MP f/2.2;50MP f/2.0;Qualcomm Snapdragon 7 Gen4 5G;Có;12 GB;256 GB;6500 mAh;Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM;1256 x 2760 pixels;Cảm ứng 240Hz, 100% DCI-P3, 10-bit (1.07 tỷ màu), Độ sáng tối đa 1200 nits;ColorOS 16.0;8 nhân;158 x 74.83 x 7.89 mm;197 g;Mặt lưng máy: KínhKhung viền: Hợp kim nhôm;120;Adreno 722;;IP66, IP68, IP69;80 W;Mở khoá vân tay dưới màn hình;
oppo reno15;0.0;6.59 inches;AMOLED;Chính 50MP f/1.8 (OIS) + Telephoto 50MP f/2.8 (OIS) + Góc siêu rộng 8MP f/2.2;50MP f/2.0;Qualcomm Snapdragon 7 Gen4 5G;Có;12 GB;256 GB;6500 mAh;Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM;1256 x 2760 pixels;Cảm ứng 240Hz, 100% DCI-P3, 10-bit (1.07 tỷ màu), Độ sáng tối đa 1200 nits;ColorOS 16.0;8 nhân;158 x 74.83 x 7.89 mm;197 g;Mặt lưng máy: KínhKhung viền: Hợp kim nhôm;120;Adreno 722;;IP66, IP68, IP69;80 W;Mở khoá vân tay dưới màn hình;
samsung galaxy s25 ultra;28990000.0;6.9 inches;Dynamic AMOLED 2X;"Camera siêu rộng 50MPCamera góc rộng 200 MPCamera Tele (5x) 50MPCamera Tele (3x) 10MP""";12 MP;Snapdragon 8 Elite dành cho Galaxy (3nm);Có;12 GB;256 GB;5000 mAh;2 Nano-SIM + eSIM;3120 x 1440 pixels (Quad HD+);120Hz2600 nitsCorning® Gorilla® Armor 2;Android 15;;162.8 x 77.6 x 8.2 mm;218 g;Khung viền: TitaniumMặt lưng máy: Kính cường lực;120 Hz;Adreno 830;Không;IP68;45 W;Mở khoá vân tay dưới màn hình;
xiaomi 14t pro;12990000.0;6.67 inches;AMOLED;Máy ảnh chính: 50MP, 23mm, ƒ/1 6  Máy ảnh góc siêu rộng: 12MP, 15mm, ƒ/2 2 Máy ảnh tele: 50MP, 60mm, ƒ/2 0;32MPƒ/2,0 Độ dài tiêu cự tương đương 25 mm  FOV 80,8˚Chế độ ban đêmHDRTính năng chụp ảnh bằng lòng bàn tay;MediaTek Dimensity 9300+;Có;12 GB;512 GB;5000 mAh;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;1220 x 2712 pixels;144Hz, 446 ppi, 4000 nitsĐộ sâu màu 12 bitLàm mờ PWM lên đến 3840HDR10+, Dolby Vision®Mặt sau cong 3D;;1 x Cortex-X4, tối đa 3,4GHz;;;;;;;;;;
iphone 16 pro max;31390000.0;6.9 inches;Super Retina XDR OLED;Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%Telephoto 2x 12MP: 52 mm, ƒ/1.6 Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải;12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels;Apple A18 Pro;Có;8 GB;256 GB;33 giờ;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;2868 x 1320 pixels;Dynamic IslandMàn hình Luôn Bật Công nghệ ProMotion với tốc độ làm mới thích ứng lên đến 120Hz Màn hình HDR True Tone Dải màu rộng (P3) Haptic Touch Tỷ lệ tương phản 2.000.000:1;iOS 18;CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất;Dài 163 mm - Ngang 77.6 mm - Dày 8.25 mm - Nặng 227 g;;Khung Titan & Mặt lưng kính cường lực;;Apple GPU 6 nhân;;IP68;20 W;Mở khoá khuôn mặt Face ID;
iphone 17e;0.0;6.1 inches;Super Retina XDR;48MP, ƒ/1.6Telephoto 2x: 12MP, ƒ/1.6;12MP, ƒ/1.9;Apple A19;Có;Đang cập nhật;256 GB;Xem video: 26 giờXem video trực tuyến: 21 giờ;2 SIM (nano‑SIM và eSIM);2532 x 1170 pixels;HDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 800 nit (tiêu chuẩn)Độ sáng đỉnh: 1200 nit (HDR);iOS 26;6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện;147.6 x 71.5 x 7.8 mm;167 g;Khung máy: Nhôm nguyên khốiMặt lưng máy: Kính;60;Apple GPU 4 nhân;;IP68;20 W;Mở khoá khuôn mặt Face ID;
samsung galaxy s26 ultra;34990000.0;6.9 inches;Dynamic AMOLED 2X;Camera siêu rộng: 50MPCamera góc rộng: 200MPCamera Tele (5x): 50MPCamera Tele (3x): 10MP;12MP;Snapdragon 8 Elite Gen 5 dành cho Galaxy (3nm);Có;12 GB;512 GB;5000 mAh;2 Nano-SIM + eSIM;3120 x 1440 pixels (Quad HD+);Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits;Android;;163.6 x 78.1 x 7.9 mm;214 g;Khung viền: Armor aluminum;120 Hz;Đang cập nhật;;IP68;60 W;Mở khoá vân tay dưới màn hình;
samsung galaxy s26 ultra;34990000.0;6.9 inches;Dynamic AMOLED 2X;Camera siêu rộng: 50MPCamera góc rộng: 200MPCamera Tele (5x): 50MPCamera Tele (3x): 10MP;12MP;Snapdragon 8 Elite Gen 5 dành cho Galaxy (3nm);Có;12 GB;512 GB;5000 mAh;2 Nano-SIM + eSIM;3120 x 1440 pixels (Quad HD+);Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits;Android;;163.6 x 78.1 x 7.9 mm;214 g;Khung viền: Armor aluminum;120 Hz;Đang cập nhật;;IP68;60 W;Mở khoá vân tay dưới màn hình;
samsung galaxy a17;5890000.0;6.7 inches;Super AMOLED;Chính 50 MPPhụ 5 MP, 2 MP;13 MP;Exynos 1330;Có;8 GB;128 GB;Li-Ion 5000 mAh;2 Nano SIM (Sim 2 chung khe với thẻ nhớ);1080 x 2340 pixels (FullHD+);Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7;Android 15;8 nhân (2 nhân 2.4 GHz & 6 nhân 2.0 GHz);164.4 x 77.9 x 7.5 mm;192 g;Đang cập nhật;90 Hz;Adreno 830;;IP54;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 2 TB
samsung galaxy a17;5890000.0;6.7 inches;Super AMOLED;Chính 50 MPPhụ 5 MP, 2 MP;13 MP;Exynos 1330;Có;8 GB;128 GB;Li-Ion 5000 mAh;2 Nano SIM (Sim 2 chung khe với thẻ nhớ);1080 x 2340 pixels (FullHD+);Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7;Android 15;8 nhân (2 nhân 2.4 GHz & 6 nhân 2.0 GHz);164.4 x 77.9 x 7.5 mm;192 g;Đang cập nhật;90 Hz;Adreno 830;;IP54;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 1 TB
samsung galaxy a17;5890000.0;6.7 inches;Super AMOLED;Chính 50 MPPhụ 5 MP, 2 MP;13 MP;Exynos 1330;Có;8 GB;128 GB;Li-Ion 5000 mAh;2 Nano SIM (Sim 2 chung khe với thẻ nhớ);1080 x 2340 pixels (FullHD+);Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7;Android 15;8 nhân (2 nhân 2.4 GHz & 6 nhân 2.0 GHz);164.4 x 77.9 x 7.5 mm;163 g;Đang cập nhật;90 Hz;Adreno 830;;IP54;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 2 TB
samsung galaxy a17;5890000.0;6.7 inches;Super AMOLED;Chính 50 MPPhụ 5 MP, 2 MP;13 MP;Exynos 1330;Có;8 GB;128 GB;Li-Ion 5000 mAh;2 Nano SIM (Sim 2 chung khe với thẻ nhớ);1080 x 2340 pixels (FullHD+);Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7;Android 15;8 nhân (2 nhân 2.4 GHz & 6 nhân 2.0 GHz);164.4 x 77.9 x 7.5 mm;163 g;Đang cập nhật;90 Hz;Adreno 830;;IP54;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 1 TB
nubia neo 3 gt;6690000.0;6.8 inches;OLED;50MP + 2MP;16MP;Unisoc T9100;Có;12 GB;256 GB;6000mAh;2 Nano-SIM;1080 x 2392 pixels;FullHD+Tần số 120HzĐộ sáng cực đại 1300 nitGam màu DCI-P3 100%Tỷ lệ tương phản 1000000:1Tần số lấy mẫu cảm ứng tức thời 1200Hz;Android 15;;;;;;;;;;;
oppo find x8;19490000.0;6.59 inches;AMOLED;50MP OIS (Chính) + 50MP (Chân dung Tele) + 50MP (Góc rộng);32MP, khẩu độ F/2.4;MediaTek Dimensity 9400;Có;16 GB;512 GB;5630 mAh;Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM;1256 x 2760 pixels;Tần số quét: 120Hz, Kính cường lực GG 7i  Độ sáng tối đa: 1600 nits  Màu sắc hiển thị: 1 tỷ màu;ColorOS 15, nền tảng Android 15;8 nhân;Dài 157.35 mm - Ngang 74.33 mm - Dày 7.85 mm - Nặng 193 g;;Khung nhôm & Mặt lưng kính cường lực;;ARM Immortalis G925 MC12;;IP68 & IP69;80 W;Mở khoá vân tay dưới màn hình;
iphone 16e;12490000.0;6.1 inches;Super Retina XDR;Hệ thống camera 2 trong 1Fusion 48MP: 26 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels, ảnh có độ phân giải siêu cao (24MP và 48MP)Đồng thời hỗ trợ Telephoto 2x 12MP: 52 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels;Camera 12MP Khẩu độ ƒ/1.9 Camera TrueDepth hỗ trợ nhận diện khuôn mặt;Chip A18;Có;Đang cập nhật;128 GB;Thời gian xem video Lên đến 26 giờ Thời gian xem video (trực tuyến) Lên đến 21 giờThời gian nghe nhạc Lên đến 90 giờ;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;2532 x 1170 pixels;Màn hình HDR True Tone Dải màu rộng (P3) Haptic Touch Tỷ lệ tương phản 2.000.000:1 (tiêu chuẩn) Độ sáng tối đa 800 nit (tiêu chuẩn);;;;;;;;;;;;
xiaomi redmi note 15;5690000.0;6.77 inches;AMOLED;Camera chính 108MP ƒ/1.7 + Camera phụ 2MP ƒ/2.4;20MP ƒ/2.2;MediaTek Helio G100-Ultra;;6 GB;128 GB;6000 mAh;2 Nano SIM;1080 x 2392 pixels;Độ sáng tối đa 3200 nits, 12-bit, DCI-P3, PWM 3840Hz, TÜV Rheinland giảm ánh sáng xanh, TÜV Rheinland thân thiện nhịp sinh học, TÜV Rheinland Flicker Free;Xiaomi HyperOS 2;;164 x 75.42 x 7.40  mm;183.7 g;Mặt lưng máy: Nhựa cao cấpKhung máy: Nhựa;120;Adreno 710;MicroSD;IP64;33 W;Mở khoá vân tay dưới màn hình;MicroSD, hỗ trợ tối đa 2 TB
xiaomi redmi note 15;5690000.0;6.77 inches;AMOLED;Camera chính 108MP ƒ/1.7 + Camera phụ 2MP ƒ/2.4;20MP ƒ/2.2;MediaTek Helio G100-Ultra;;6 GB;128 GB;6000 mAh;2 Nano SIM;1080 x 2392 pixels;Độ sáng tối đa 3200 nits, 12-bit, DCI-P3, PWM 3840Hz, TÜV Rheinland giảm ánh sáng xanh, TÜV Rheinland thân thiện nhịp sinh học, TÜV Rheinland Flicker Free;Xiaomi HyperOS 2;;164 x 75.42 x 7.40  mm;183.7 g;Mặt lưng máy: Nhựa cao cấpKhung máy: Nhựa;120;Adreno 710;MicroSD;IP64;45 W;Mở khoá vân tay dưới màn hình;MicroSD, hỗ trợ tối đa 1 TB
samsung galaxy a56;8990000.0;6.7 inches;Super AMOLED;50.0 MP, F/1.8  + 12.0 MP, F/2.2  + 5.0 MP, F/2.4;12.0 MP, F/2.2;Exynos 1580;Có;8 GB;128 GB;5000 mAh;SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM;1080 x 2340 pixels (FullHD+);16 triệu màu, 120 Hz, 1200 nit, kính cường lực Corning Gorilla Glass Victus+;Android;8 nhân 2.9GHz, 2.6GHz, 1.9GHz;162.2 x 77.5 x 7.4 mm;198 g;Mặt lưng máy: KínhViền máy: Kim loại;120 Hz;AMD Ariel 2WGP-1RB 1.3GHz;Không;IP67;45 W;Mở khoá vân tay dưới màn hình;
samsung galaxy a56;8990000.0;6.7 inches;Super AMOLED;50.0 MP, F/1.8  + 12.0 MP, F/2.2  + 5.0 MP, F/2.4;12.0 MP, F/2.2;Exynos 1580;Có;8 GB;128 GB;5000 mAh;SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM;1080 x 2340 pixels (FullHD+);16 triệu màu, 120 Hz, 1200 nit, kính cường lực Corning Gorilla Glass Victus+;Android;8 nhân 2.9GHz, 2.6GHz, 1.9GHz;162.2 x 77.5 x 7.4 mm;198 g;Mặt lưng máy: KínhViền máy: Kim loại;120 Hz;AMD Ariel 2WGP-1RB 1.3GHz;Không;IP67;45 W;Mở khoá vân tay dưới màn hình;
meizu mblu 22 pro nfc;2990000.0;6.79 inches;TFT LCD;50 MP, AF f/1.8Camera macro: 2 MP,  f/2.4;5 MP, f/2.0;MediaTek Helio G81;Có;6 GB;256 GB;5000 mAh;2 Nano-SIM;720 x 1640 pixels;;Android 15;Octa-core;;;;;;;;;;
samsung galaxy s25 fe;14050000.0;6.7 inches;Dynamic AMOLED 2X;50MP, f/1.8 góc rộng12MP, f/2.2 góc siêu rộng8MP, f/2.4 Tele;12MP, f/2.2;Exynos 2400;Có;8 GB;128 GB;4900 mAh;2 Nano-SIM + eSIM;1080 x 2340 pixels (FullHD+);Độ sáng tối đa 1900 nitsGorilla® Victus+16 triệu màu;Android 16, One UI 8;10 nhân (3.2 GHz, 2.9 GHz, 2.6 GHz, 1.95 GHz);Dài 161.3 mm - Ngang 76.6 mm - Dày 7.4 mm - Nặng 190 g;;Khung nhôm & Mặt lưng kính cường lực;;Đang cập nhật;;IP68;45 W;Mở khoá vân tay dưới màn hình;
xiaomi 15t;13990000.0;6.83 inches;AMOLED;Chính: 50MP (23mm, f/1.7, OIS, Light Fusion 800)Tele: 50MP (46mm, f/1.9)Góc siêu rộng: 12MP (15mm, f/2.2, 120° FOV);32MP, f/2.2, tiêu cự 21mm;MediaTek Dimensity 8400-Ultra;;12 GB;512 GB;5500mAh;Nano-SIM;Đang cập nhật;Độ sáng tối đa 3200 nits (25% vùng hiển thị)68 tỷ màuDCI-P3Chứng nhận TÜV Rheinland (Low Blue Light, Flicker Free, Circadian Friendly);Xiaomi HyperOS 2, tích hợp Xiaomi HyperAI & Google Gemini;;163.2 x 78.0 x 7.5 mm;194 g;Khung máy: NhựaMặt lưng máy: Nhựa;120 Hz;Mali-G720;;IP68;67 W;Mở khoá vân tay dưới màn hình;
xiaomi 15t;13990000.0;6.83 inches;AMOLED;Chính: 50MP (23mm, f/1.7, OIS, Light Fusion 800)Tele: 50MP (46mm, f/1.9)Góc siêu rộng: 12MP (15mm, f/2.2, 120° FOV);32MP, f/2.2, tiêu cự 21mm;MediaTek Dimensity 8400-Ultra;;12 GB;512 GB;5500mAh;Nano-SIM;Đang cập nhật;Độ sáng tối đa 3200 nits (25% vùng hiển thị)68 tỷ màuDCI-P3Chứng nhận TÜV Rheinland (Low Blue Light, Flicker Free, Circadian Friendly);Xiaomi HyperOS 2, tích hợp Xiaomi HyperAI & Google Gemini;;163.2 x 78.0 x 7.5 mm;194 g;Khung máy: NhựaMặt lưng máy: Nhựa;120 Hz;Mali-G720;;IP68;67 W;Mở khoá vân tay dưới màn hình;
oppo find x9;0.0;6.59 inches;AMOLED;50MP OIS (Chính) + 50MP OIS (Tele) + 50MP (Góc rộng) + 2MP (Mono);32MP f/2.4;Dimensity 9500 5G;Có;12 GB;256 GB;7025mAh (Typ);Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM;1256 x 2760 pixels;Tần số quét 120Hz, Cảm ứng 240Hz, 1.07 tỷ màu (10-bit), 100% DCI-P3, Độ sáng 1800nits;ColorOS 16.0;8 nhân;156.98 x 73.93 x 7.99 mm;203 g;Mặt lưng máy: Kính cường lựcKhung viền: Hợp kim nhôm;120;ARM Mali Drage MC12;;IP66, IP68, IP69;80 W;Mở khoá vân tay dưới màn hình;
oppo find x9;0.0;6.59 inches;AMOLED;50MP OIS (Chính) + 50MP OIS (Tele) + 50MP (Góc rộng) + 2MP (Mono);32MP f/2.4;Dimensity 9500 5G;Có;12 GB;256 GB;7025mAh (Typ);Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM;1256 x 2760 pixels;Tần số quét 120Hz, Cảm ứng 240Hz, 1.07 tỷ màu (10-bit), 100% DCI-P3, Độ sáng 1800nits;ColorOS 16.0;8 nhân;156.98 x 73.93 x 7.99 mm;203 g;Mặt lưng máy: Kính cường lựcKhung viền: Hợp kim nhôm;120;ARM Mali Drage MC12;;IP66, IP68, IP69;80 W;Mở khoá vân tay dưới màn hình;
iphone 16;20790000.0;6.1 inches;Super Retina XDR OLED;Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x;;;;;;;;;;;;;;;;;;;;;
