Tên,Giá,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Dung lượng RAM,Pin,Tương thích,Cảm biến
iPhone Air 256GB | Chính hãng,22.890.000đ,https://cellphones.com.vn/iphone-air-256gb.html,6.5 inches,Super Retina XDR,48MP Fusion Main f/1.6,18MP Center Stage f/1.6,Chip A19 Pro,Có,256 GB,2 eSIM,iOS 26,2736 x 1260 pixels,"Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi",6 lõi (2 hiệu năng + 4 tiết kiệm điện),,Xem video: 27 giờXem video trực tuyến: 22 giờ,,
Samsung Galaxy A17 5G 8GB 128GB,5.690.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a17-5g.html,6.7 inches,Super AMOLED,"Chính 50 MPPhụ 5 MP, 2 MP",13 MP,Exynos 1330,Có,128 GB,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),Android 15,1080 x 2340 pixels (FullHD+),Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7,8 nhân (2 nhân 2.4 GHz & 6 nhân 2.0 GHz),8 GB,Li-Ion 5000 mAh,,
Samsung Galaxy Z Flip7 12GB 256GB,22.990.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-z-flip-7.html,6.9 inches,Dynamic AMOLED 2X,"50 MP, F1.8 + 12 MP, F2.2","10MP, F2.2",,Có,256 GB,2 Nano-SIM,Android,,"Tần số quét: 120 HzĐộ phân giải màn hình chính: 2520 x 1080 (FHD+)Kích cỡ màn hình phụ: 4.1""Độ phân giải màn hình phụ: 1048 x 948Công nghệ màn hình phụ: Super AMOLEDĐộ sâu màu sắc: 16M","10 nhân, 3.3 GHz, 2.74GHz, 2.36GHz, 1.8GHz",12 GB,4300mAh,,
Samsung Galaxy A57 5G 8GB 128GB,10.960.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a57.html,6.7 inches,Super AMOLED Plus,Camera chính: 50MPGóc siêu rộng 12MPMacro 5MP,12MP,Exynos 1680,Có,128 GB,,Android 16,1080 x 2340 pixels (FullHD+),Tần số quét: 120Hz16 triệu màu1900 nits,"1 nhân 2.9 GHz, 3 nhân 2.6 GHz & 4 nhân 1.95 GHz",8 GB,5000 mAh,,
Nubia Neo 5 5G 8GB 128GB,6.990.000đ,https://cellphones.com.vn/dien-thoai-nubia-neo-5-5g.html,6.8 inches,,50MP AF + 2MP,16MP FF,Unisoc T9300,Có,128 GB,2 Nano-SIM + eSIM,MyOS 16 (Dựa trên Android 16),,Độ phân giải màn hình: 1940 × 900pixelsĐộ sáng 1000 nits,Octa-core 2.4GHz,8 GB,6050mAh,,
Samsung Galaxy A07 4GB 128GB,3.190.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a07.html,6.7 inches,IPS LCD,Chính 50 MPPhụ 2 MP,8 MP,MediaTek Helio G99,Không,128 GB,2 Nano-SIM,Android 15,720 x 1600 pixel,Độ sáng tối đa 480 nitsKính cường lực Panda,8 nhân (2 nhân 2.2 GHz & 6 nhân 2.0 GHz),4 GB,Li-Ion 5000 mAh,,
Nubia Neo 5 GT 8GB 256GB,8.990.000đ,https://cellphones.com.vn/dien-thoai-nubia-neo-5-gt.html,6.8 inches,AMOLED,50MP AF + 2MP,16MP FF,MediaTek D7400,Có,256 GB,2 Nano-SIM + eSIM,MyOS 16 (dựa trên Android 16),,Độ phân giải màn hình 1.5KĐộ sáng 4500 nits,Octa-core 2.6GHz,8 GB,6210mAh,,
Xiaomi Redmi Note 14 Pro Plus 5G 8GB 256GB,7.990.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14-pro-plus.html,6.67 inches,AMOLED,"Chính 200MP, OIS - f/1.65  Góc siêu rộng 8MP - f/2.2 Macro 2MP - f/2.4",Camera trước - f/2.2,Snapdragon® 7s Gen 3,Có,256 GB,2 Nano-SIM,Android 14,2712 x 1220 pixels,"Tần số quét: Lên đến 120Hz  Độ sáng: 3000 nits   Độ sâu màu: 12-bit  Tỷ lệ tương phản: 5,000,000:1","8 nhân, xung nhịp 2.5Ghz",8 GB,5110 mAh,,
OPPO Find N6 16GB 512GB,63.990.000đ,https://cellphones.com.vn/dien-thoai-oppo-find-n6.html,8.12 inches,AMOLED,"200MP chính, f/1.8, OIS50MP telephoto, f/2.7, OIS50MP siêu rộng, f/2.0, 120°2MP monochrome, f/2.4",20MP màn hình trong20MP màn hình ngoài,Snapdragon® 8 Elite Gen 5,Có,512 GB,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,ColorOS 16.0,,"1 - 120Hz adaptive, Cảm ứng 240Hz, 10-bit (1.07 tỷ màu), 100% DCI-P3, Tối đa 1800 nits, 412 - 431 PPI",7 nhân,16 GB,6000 mAh,,
HONOR X9d 5G 12GB 256GB,11.190.000đ,https://cellphones.com.vn/dien-thoai-honor-x9d-12gb-256gb.html,6.79 inches,AMOLED,Camera chính 108MP (F1.75) + Camera góc rộng 5MP (F2.2),16MP (F2.45),Snapdragon 6 Gen 4,Có,256 GB,2 Nano-SIM,MagicOS 9.0 (Dựa trên Android 15）,1200 x 2640 pixels,"100% DCI-P3, 1,07 tỷ màu800 nits (điển hình), 1800 nits (chế độ HBM), 6000 nits (chế độ APL)Bảo vệ mắtMàn hình ban đêm sinh họcGiảm độ sáng độngKhử nháy sáng PWM 3840Hz",8 nhân (1× A720 2.3GHz + 3× A720 2.2GHz + 4× A520 1.8GHz),12 GB,8300 mAh,,
Điện thoại Meizu Mblu Note 21 Pro NFC 8GB 256GB,3.990.000đ,https://cellphones.com.vn/dien-thoai-meizu-mblu-note-21-pro.html,6.78 inches,IPS LCD,64 MP + 2 MP,13 MP,Mediatek Helio G99 (6 nm),Có,256 GB,2 Nano-SIM,"Android 14, Flyme AIOS",1080 x 2400 pixels (FullHD+),"Mật độ điểm ảnh 388ppi, tần số quét 120Hz, độ sáng tối đa 550 nits",8 nhân (2 x 2.2 GHz Cortex-A76 và  6 x 2.0 GHz Cortex-A55),8 GB,5000mAh,,
iPhone 16 Pro Max 512GB | Chính hãng VN/A,38.490.000đ,https://cellphones.com.vn/iphone-16-pro-max-512gb.html,6.9 inches,Super Retina XDR OLED,"Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%Telephoto 2x 12MP: 52 mm, ƒ/1.6 Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",Apple A18 Pro,Có,512 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2868 x 1320 pixels,Dynamic IslandMàn hình Luôn Bật Công nghệ ProMotion với tốc độ làm mới thích ứng lên đến 120Hz Màn hình HDR True Tone Dải màu rộng (P3) Haptic Touch Tỷ lệ tương phản 2.000.000:1,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,,,Tương Thích Với Thiết Bị Trợ Thính,
iPhone 17e 256GB | Chính hãng,17.490.000đ,https://cellphones.com.vn/iphone-17e.html,6.1 inches,Super Retina XDR,"48MP, ƒ/1.6Telephoto 2x: 12MP, ƒ/1.6","12MP, ƒ/1.9",Apple A19,Có,256 GB,2 SIM (nano‑SIM và eSIM),iOS 26,2532 x 1170 pixels,HDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 800 nit (tiêu chuẩn)Độ sáng đỉnh: 1200 nit (HDR),6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,Xem video: 26 giờXem video trực tuyến: 21 giờ,,
OPPO Find X9 Ultra 12GB 512GB,48.990.000đ,https://cellphones.com.vn/dien-thoai-oppo-find-x9-ultra.html,6.82 inches,AMOLED,Chính 200MP (OIS) + Tele 200MP (OIS) + Tele siêu xa 50MP (OIS) + Siêu rộng 50MP + Đơn sắc 3.2MP,50MP,Snapdragon® 8 Elite Gen 5 Mobile Platform,Có,512 GB,2 Nano-SIM + eSIM,ColorOS 16.0,3168 x 1440 pixel,"Tần số quét thích ứng 1-120Hz (tối đa 144Hz), 1.07 tỷ màu, 510 PPI, Độ sáng tối đa 1800 nits (HBM), 100% DCI-P3",8 nhân,12 GB,7050 mAh,,
Xiaomi Redmi Note 15 6GB 128GB,5.490.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-15.html,6.77 inches,AMOLED,Camera chính 108MP ƒ/1.7 + Camera phụ 2MP ƒ/2.4,20MP ƒ/2.2,MediaTek Helio G100-Ultra,,128 GB,,Xiaomi HyperOS 2,1080 x 2392 pixels,"Độ sáng tối đa 3200 nits, 12-bit, DCI-P3, PWM 3840Hz, TÜV Rheinland giảm ánh sáng xanh, TÜV Rheinland thân thiện nhịp sinh học, TÜV Rheinland Flicker Free",,6 GB,6000 mAh,,
Samsung Galaxy Z Fold7 12GB 256GB,40.990.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-z-fold-7.html,8.0 inches,Dynamic AMOLED 2X,"200 MP, F1.7 + 12 MP, F2.2 + 10 MP, F2.4","10MP, F2.2",Snapdragon® 8 Elite 3nm for Galaxy,Có,256 GB,2 Nano-SIM,Android,,"Tần số quét: 120 HzĐộ phân giải màn hình chính: 2184 x 1968 (QXGA+)Kích cỡ màn hình phụ: 6.5""Độ phân giải màn hình phụ: 2520 x 1080 (FHD+)Độ sâu màu sắc: 16M","8 nhân, 4.47GHz, 3.5GHz",12 GB,4400mAh,,
Samsung Galaxy A06 5G 4GB 128GB,2.590.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a06-5g.html,6.7 inches,PLS LCD,"50.0 MP, f/1.8 2.0 MP, f/2.4","8.0 MP, f/2.0",Mali-G57,,128 GB,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),Android,720 x 1600 pixel,"16 triệu màu, 60Hz,  576 nits",2 nhân 2.0 GHz & 6 nhân 1.8 GHz,4 GB,5000 mAh,,
Samsung Galaxy A56 5G 8GB 128GB,8.990.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a56.html,6.7 inches,Super AMOLED,"50.0 MP, F/1.8  + 12.0 MP, F/2.2  + 5.0 MP, F/2.4","12.0 MP, F/2.2",Exynos 1580,Có,128 GB,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,Android,1080 x 2340 pixels (FullHD+),"16 triệu màu, 120 Hz, 1200 nit, kính cường lực Corning Gorilla Glass Victus+","8 nhân 2.9GHz, 2.6GHz, 1.9GHz",8 GB,5000 mAh,,
iPhone 17 Pro Max 512GB | Chính hãng,43.790.000đ,https://cellphones.com.vn/iphone-17-pro-max-512gb.html,6.9 inches,Super Retina XDR,Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x,Camera 18MP Center Stage Khẩu độ ƒ/1.9,Chip A19 Pro,Có,512 GB,,iOS 26,2868 x 1320 pixels,"Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,Tương thích với thiết bị trợ thính,
iPhone 16 128GB | Chính hãng VN/A,20.590.000đ,https://cellphones.com.vn/iphone-16.html,6.1 inches,Super Retina XDR OLED,"Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x Độ thu phóng kỹ thu","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",Apple A18,Có,128 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2556 x 1179 pixels,Dynamic IslandMàn hình HDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng tối đa 1000 nit460 ppiLớp phủ kháng dầu chống in dấu vân tayHỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,8 GB,,,
Nubia V80 Design 8GB 128GB,3.990.000đ,https://cellphones.com.vn/dien-thoai-nubia-v80-design.html,6.75 inches,IPS LCD,50 MP + 2 MP + 0.08 MP,16 MP,Unisoc T7280,Có,128 GB,2 Nano-SIM,,,Tần số quét 120Hz,,8 GB,5000 mAh,,
Samsung Galaxy S25 FE 8GB 128GB,12.560.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-fe.html,6.7 inches,Dynamic AMOLED 2X,"50MP, f/1.8 góc rộng12MP, f/2.2 góc siêu rộng8MP, f/2.4 Tele","12MP, f/2.2",Exynos 2400,Có,128 GB,2 Nano-SIM + eSIM,"Android 16, One UI 8",1080 x 2340 pixels (FullHD+),Độ sáng tối đa 1900 nitsGorilla® Victus+16 triệu màu,"10 nhân (3.2 GHz, 2.9 GHz, 2.6 GHz, 1.95 GHz)",8 GB,4900 mAh,,
Xiaomi 15T 5G 12GB 512GB,12.490.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-15t-5g.html,6.83 inches,AMOLED,"Chính: 50MP (23mm, f/1.7, OIS, Light Fusion 800)Tele: 50MP (46mm, f/1.9)Góc siêu rộng: 12MP (15mm, f/2.2, 120° FOV)","32MP, f/2.2, tiêu cự 21mm",MediaTek Dimensity 8400-Ultra,,512 GB,Nano-SIM,"Xiaomi HyperOS 2, tích hợp Xiaomi HyperAI & Google Gemini",,"Độ sáng tối đa 3200 nits (25% vùng hiển thị)68 tỷ màuDCI-P3Chứng nhận TÜV Rheinland (Low Blue Light, Flicker Free, Circadian Friendly)",,12 GB,5500mAh,,
OPPO Reno15 5G 12GB 256GB,16.490.000đ,https://cellphones.com.vn/dien-thoai-oppo-reno15.html,6.59 inches,AMOLED,Chính 50MP f/1.8 (OIS) + Telephoto 50MP f/2.8 (OIS) + Góc siêu rộng 8MP f/2.2,50MP f/2.0,Qualcomm Snapdragon 7 Gen4 5G,Có,256 GB,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,ColorOS 16.0,1256 x 2760 pixels,"Cảm ứng 240Hz, 100% DCI-P3, 10-bit (1.07 tỷ màu), Độ sáng tối đa 1200 nits",8 nhân,12 GB,6500 mAh,,
HONOR X7d 8GB 256GB,6.290.000đ,https://cellphones.com.vn/dien-thoai-honor-x7d.html,6.77 inches,TFT LCD,"108 MP, f/1.8 + 2MP","8MP, f/2.0",Qualcomm Snapdragon 685,,256 GB,Nano-SIM,"Android 15, MagicOS 9.0",,"Độ phân giải HD+ (720 × 1.610 px), 120 Hz","8 nhân: 4 × Cortex-A73 (2,8 GHz) + 4 × Cortex-A53 (1,9 GHz)",8 GB,6500 mAh,,
HONOR 400 Pro 5G 12GB 512GB,15.490.000đ,https://cellphones.com.vn/dien-thoai-honor-400-pro-5g.html,6.7 inches,AMOLED,"Camera chính AI siêu nét 200MP (f/1.9, OIS) + 50MP Camera Tele (f/2.4 , OIS) + 12MP Camera Góc Siêu Rộng (f/2.2)",50MP (khẩu độ f/2.0),Snapdragon 8 Gen 3,Có,512 GB,2 Nano SIM hoặc 1 Nano + 1 eSIM,MagicOS 9.0 (Android 15),2800 x 1280 pixels,1.07 tỷ màu,8 nhân,12 GB,6000 mAh,,
POCO X8 Pro Max 12GB 256GB,14.290.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-poco-x8-pro-max.html,6.83 inches,AMOLED,"50 MP f/1.5 (cảm biến Light Hunter 600, OIS) + 8 MP (góc siêu rộng)",20 MP,MediaTek Dimensity 9500s,,256 GB,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,Xiaomi HyperOS 3 (Android 16),2772 x 1280 pixels,"Độ sáng tối đa 3.500 nits, PWM 3840Hz, 68 tỷ màu, dải màu DCI-P3, HDR10+",1 × Cortex-X925 (tối đa 3.73GHz) + 3 × Cortex-X4 (tối đa 3.3GHz) + 4 × Cortex-A720 (tối đa 2.4GHz),12 GB,8.500 mAh,,
TECNO CAMON 40 8GB 128GB,4.990.000đ,https://cellphones.com.vn/dien-thoai-tecno-camon-40.html,6.78 inches,AMOLED,"50MP, ƒ/1.8Góc siêu rộng 8MP",32MP,Mediatek Helio G100 Ultimate,Có,128 GB,2 Nano-SIM,Android 15,,Màn hình phẳngFHD+Tần số quét 120HzĐộ sáng màn hình 1300 nitsHDR,,8 GB,5200 mAh,,
iPhone 17 Pro 512GB | Chính hãng,40.890.000đ,https://cellphones.com.vn/iphone-17-pro-512gb.html,6.3 inches,Super Retina XDR,Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x,Camera 18MP Center Stage Khẩu độ ƒ/1.9,Chip A19 Pro,Có,512 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,2622 x 1206  pixels,"Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,,
iPhone 17 Pro Max 1TB | Chính hãng,50.090.000đ,https://cellphones.com.vn/iphone-17-pro-max-1tb.html,6.9 inches,Super Retina XDR,Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x,Camera 18MP Center Stage Khẩu độ ƒ/1.9,Chip A19 Pro,Có,1 TB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,2868 x 1320 pixels,"Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,Tương thích với thiết bị trợ thính,
ZTE Nubia Z60S Pro 16GB 512GB,10.990.000đ,https://cellphones.com.vn/dien-thoai-zte-nubia-z60s-pro-16gb-512gb.html,6.78 inches,AMOLED,"Camera chính: 50MP, f/1.56Camera Tele: 8MP, f/2.4Camera góc siêu rộng: 50MP","16MP, f/2.45",Snapdragon 8 Gen 2 (4 nm),Có,512 GB,2 Nano-SIM,Android 14,2160 x 1440 pixels,"Tần số quét 120 Hz, 1200 nits, 452PPI, 100% DCI-P3, 1,07 tỷ màu sắc",,16 GB,5100 mAh,,
Xiaomi POCO X7 Pro 5G 12GB 256GB,8.790.000đ,https://cellphones.com.vn/dien-thoai-poco-x7-pro-5g.html,6.67 inches,AMOLED,50MP,,Dimensity 8400-Ultra,Có,256 GB,2 SIM (Nano-SIM),Android 14,1220 x 2712 pixels,"3200 nits, Tần số quét 120Hz, Dolby Vison",,12 GB,6000 mAh,,
