name,price,link,Hệ điều hành,Chip xử lý (CPU),Tốc độ CPU,Chip đồ họa (GPU),RAM,Dung lượng lưu trữ,Dung lượng còn lại (khả dụng) khoảng,Danh bạ,Độ phân giải camera sau,Quay phim camera sau,Đèn Flash camera sau,Tính năng camera sau,Độ phân giải camera trước,Tính năng camera trước,Công nghệ màn hình,Độ phân giải màn hình,Màn hình rộng,Độ sáng tối đa,Mặt kính cảm ứng,Dung lượng pin,Loại pin,Hỗ trợ sạc tối đa,Công nghệ pin,Bảo mật nâng cao,Tính năng đặc biệt,"Kháng nước, bụi",Ghi âm,Xem phim,Mạng di động,SIM,Wifi,GPS,Bluetooth,Cổng kết nối/sạc,Jack tai nghe,Kết nối khác,Thiết kế,Chất liệu,"Kích thước, khối lượng",Thời điểm ra mắt,Hãng,description,brand,sku,mpn,price_json,currency,Sạc kèm theo máy,Nghe nhạc,Radio,Thẻ nhớ,Đèn pin
Điện thoại Xiaomi Redmi Note 15 5G 6GB/128GB,6.990.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-15-5g-6gb-128gb,Xiaomi HyperOS 2,Snapdragon 6 Gen 3 8 nhân,4 nhân 2.4 GHz & 4 nhân 1.8 GHz,Adreno 710,6 GB,128 GB,Hãng không công bố,Không giới hạn,Chính 108 MP & Phụ 8 MP,HD 720p@30fps,Có,Tự động lấy nét (AF),20 MP,Xóa phông,AMOLED,Full HD+ (1080 x 2392 Pixels),"6.77"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3200 nits,Hãng không công bố,5520 mAh,Li-Ion,45 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,,IP66,Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM hoặc 1 Nano SIM + 1 thẻ nhớ,Wi-Fi Direct,GPS,v5.1,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa Polycarbonate,Dài 164 mm - Ngang 75.42 mm - Dày 7.35 mm - Nặng 178 g,01/2026,Xiaomi. <span class='parameter__manu'>Xem thông tin hãng</span>,"Xiaomi Redmi Note 15 5G 6GB/128GB giá tốt, tặng bảo hành rơi vỡ 2 năm, bảo hành vào nước 2 năm, tặng Loa Bluetooth Xiaomi Sound Outdoor. Mua ngay đến 28/2!",['Xiaomi'],360310,360310,6990000.0,VND,45 W,OGG,Có,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại OPPO Find X9 5G 12GB/256GB,22.990.000₫,https://www.thegioididong.com/dtdd/oppo-find-x9-12gb-256gb,Android 16,MediaTek Dimensity 9500 8 nhân,4.21 GHz,Mali-G1 Ultra MC12,12 GB,256 GB,230 GB,Không giới hạn,"Chính 50 MP & Phụ 50 MP, 50 MP, 2 MP",HD 720p@480fps,Có,Zoom quang học,32 MP,Xóa phông,AMOLED,1.5K+ (1256 x 2760 Pixels),"6.59"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",1800 nits,Kính cường lực Corning Gorilla Glass 7i,7025 mAh,Li-Po,80 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Ứng dụng kép (Nhân bản ứng dụng),"IP66, IP68, IP69",Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,Wi-Fi hotspot,QZSS,v6.0,Type-C,Type-C,OTG,Nguyên khối,Khung hợp kim nhôm & Mặt lưng kính,Dài 156.98 mm - Ngang 73.93 mm - Dày 7.99 mm - Nặng 203 g,10/2025,OPPO. <span class='parameter__manu'>Xem thông tin hãng</span>,"OPPO Find X9 12GB/256GB giá tốt, tặng gói Google One AI Premium 3 tháng, gói Premium Service +, thu cũ giảm đến 4tr, trả chậm 0% lãi suất. Mua ngay đến 30/11!",['OPPO'],344655,344655,22990000.0,VND,80 W,OGG,,,
Điện thoại vivo V60 Lite 5G 8GB/256GB,10.190.000₫,https://www.thegioididong.com/dtdd/vivo-v60-lite-8gb-256gb,Android 15,MediaTek Dimensity 7360-Turbo 8 nhân,4 nhân 2.5 GHz & 4 nhân 2 GHz,Đang cập nhật,8 GB,256 GB,,Không giới hạn,Chính 50 MP & Phụ 8 MP,HD 720p@30fps,Có,Xóa phông,32 MP,Xóa phông,AMOLED,Full HD+ (1080 x 2392 Pixels),"6.77"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3000 nits,Đang cập nhật,6500 mAh,BlueVolt,90 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Đạt chuẩn chống va đập 5 sao SGS,IP65,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,QZSS,v5.4,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 163.77 mm - Ngang 76.28 mm - Dày 7.59 mm (Đen & Xanh) | 7.69 mm (Hồng) - Nặng 194g,10/2025,vivo. <span class='parameter__manu'>Xem thông tin hãng</span>,"vivo V60 Lite 5G 8GB/256GB giá tốt, nhận ưu đãi lên đến 4tr, tặng loa Bluetooth EP-Windy, trả góp 0% - trả trước 0đ, bảo hành 24 tháng. Mua ngay đến 31/11!",['vivo'],357576,357576,10490000.0,VND,90 W,WAV,,Đang cập nhật,
Điện thoại realme C85 5G 8GB/128GB,7.590.000₫,https://www.thegioididong.com/dtdd/realme-c85-5g-8gb-128gb,Android 15,MediaTek Dimensity 6300 5G 8 nhân,2 nhân 2.4 GHz & 6 nhân 2 GHz,Mali-G57 MC2,8 GB,128 GB,,Không giới hạn,Chính 50 MP & Cảm biến Flicker,FullHD 1080p@30fps,Có,Xóa phông,8 MP,Xóa phông,IPS LCD,HD+ (720 x 1570 Pixels),"6.8"" - Tần số quét 144 Hz",1200 nits,Kính cường lực Panda,7000 mAh,Li-Ion,45 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Không gian trẻ em,"IP66, IP68, IP69, IP69K",Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM hoặc 1 Nano SIM + 1 thẻ nhớ,Wi-Fi hotspot,QZSS,v5.3,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 166.07 mm - Ngang 77.93 mm - Dày 8.38 mm - Nặng 215 g,11/2025,realme. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại realme C85 5G 8GB/128GB chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['realme'],362760,362760,8090000.0,VND,45 W,WMA,Có,"MicroSD, hỗ trợ tối đa 2 TB",
Điện thoại HONOR 400 Lite 12GB/256GB,7.680.000₫,https://www.thegioididong.com/dtdd/honor-400-lite,Android 15,MediaTek Dimensity 7025-Ultra 5G 8 nhân,2 nhân 2.5 GHz & 6 nhân 2 GHz,IMG BXM-8-256,12 GB,256 GB,233 GB,Không giới hạn,Chính 108 MP & Phụ 5 MP,FullHD 1080p@30fps,Có,Zoom kỹ thuật số,16 MP,Xóa phông,AMOLED,Full HD+ (1080 x 2412 Pixels),"6.7"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3500 nits,Kính cường lực,5230 mAh,Silicon-Carbon,35 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Đạt chuẩn chống va đập 5 sao SGS,IP65,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.3,Type-C,Type-C,OTG,Nguyên khối,Khung kim loại & Mặt lưng nhựa,Dài 161 mm - Ngang 74.55 mm - Dày 7.29 mm - Nặng 171 g,06/2025,HONOR. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Honor 400 Lite 12GB/256GB chính hãng, giá tốt, giảm ngay 500K hoặc tặng PMH phụ kiện 600K, thu cũ đổi mới trợ giá đến 1.5tr, 1 đổi 1 trong 100 ngày. Mua ngay!",['HONOR'],339245,339245,7680000.0,VND,35 W,WAV,,,
Điện thoại realme C85 Pro 8GB/128GB,6.590.000₫,https://www.thegioididong.com/dtdd/realme-c85-pro-8gb-128gb,Android 15,Snapdragon 685 8 nhân,4 nhân 2.8 GHz & 4 nhân 1.9 GHz,Adreno 610,8 GB,128 GB,97 GB,Không giới hạn,Chính 50 MP & Cảm biến Flicker,HD 720p@30fps,Có,Xóa phông,8 MP,Xóa phông,AMOLED,Full HD+ (1080 x 2344 Pixels),"6.8"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",4000 nits,Kính cường lực AGC DT-Star2,7000 mAh,Li-Ion,45 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Độ bền chuẩn quân đội MIL-STD 810H,IP69 Pro,Ghi âm mặc định,WEBM,Hỗ trợ 4G,2 Nano SIM,Wi-Fi hotspot,QZSS,v5.0,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 164.4 mm - Ngang 77.99 mm - Dày 8.09 mm - Nặng 205 g,11/2025,realme. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua realme C85 Pro 8GB/128GB giá tốt, trả chậm 0% lãi suất - trả trước 0đ, thu cũ giảm đến 800K, giảm 200K hoặc tặng phiếu mua hàng 250K. Mua ngay đến 30/11!",['realme'],357832,357832,6990000.0,VND,45 W,WMA,Có,"MicroSD, hỗ trợ tối đa 2 TB",
Điện thoại Motorola G35 5G 4GB/128GB,3.690.000₫,https://www.thegioididong.com/dtdd/motorola-moto-g35-5g-4gb-128gb,Android 15,Unisoc T760 8 nhân,2.2 GHz,Mali-G57,4 GB,128 GB,115 GB,Không giới hạn,Chính 50 MP & Phụ 8 MP,FullHD 1080p@30fps,Có,Xóa phông,16 MP,Xóa phông,IPS LCD,Full HD+ (1080 x 2400 Pixels),"6.7"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",1000 nits,Kính cường lực Corning Gorilla Glass 3,5000 mAh,Li-Ion,20 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Âm thanh Dolby Atmos,IP52,Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,QZSS,v5.0,Type-C,3.5 mm,NFC,Nguyên khối,Khung nhựa & Mặt lưng nhựa (Đen) | Da sinh học (Xanh),Dài 166.3 mm - Ngang 76 mm - Dày 7.8 mm - Nặng 188 g,11/2025,,"Motorola G35 5G 4GB/128GB ra mắt, giá tốt, camera chuẩn màu Pantone, độ bền chuẩn quân đội, nhận ưu đãi đến 1tr, tặng data Viettel 5G 30GB. Mua ngay đến 30/11!",['Motorola'],358048,358048,3690000.0,VND,20 W,OGG,,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại iPhone 16 Plus 128GB,25.090.000₫,https://www.thegioididong.com/dtdd/iphone-16-plus,iOS 18,Apple A18 6 nhân,Hãng không công bố,Apple GPU 5 nhân,8 GB,128 GB,113 GB,Không giới hạn,Chính 48 MP & Phụ 12 MP,HD 720p@30fps,Có,Điều khiển camera (Camera Control),12 MP,Smart HDR 5,OLED,Super Retina XDR (1290 x 2796 Pixels),"6.7"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid1' target='_blank'>60 Hz</a>",2000 nits,Kính cường lực Ceramic Shield,27 giờ,Li-Ion,20 W,Tiết kiệm pin,Mở khoá khuôn mặt Face ID,Âm thanh Dolby Atmos,IP68,Ghi âm mặc định,MP4,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,Wi-Fi MIMO,iBeacon,v5.3,Type-C,Type-C,NFC,Nguyên khối,Khung nhôm & Mặt lưng kính cường lực,Dài 160.9 mm - Ngang 77.8 mm - Dày 7.8 mm - Nặng 199 g,09/2024,iPhone (Apple). <span class='parameter__manu'>Xem thông tin hãng</span>,"Apple iPhone 16 Plus 128GB giá tốt, thu cũ giảm đến 2 triệu, bảo hành chính hãng 1 năm, tặng thêm phiếu mua hàng Macbook, trả chậm 0% lãi suất. Mua ngay!",['iPhone (Apple)'],329138,329138,25090000.0,VND,,MP3,,,
Điện thoại iPhone 13 128GB,11.990.000₫,https://www.thegioididong.com/dtdd/iphone-13,iOS 17,Apple A15 Bionic,3.22 GHz,Apple GPU 4 nhân,4 GB,128 GB,113 GB,Không giới hạn,2 camera 12 MP,HD 720p@30fps,Có,Zoom quang học,12 MP,Xóa phông,OLED,Super Retina XDR (1170 x 2532 Pixels),"6.1"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid1' target='_blank'>60 Hz</a>",1200 nits,Kính cường lực Ceramic Shield,3240 mAh,Li-Ion,20 W,Tiết kiệm pin,Mở khoá khuôn mặt Face ID,Âm thanh Dolby Atmos,IP68,Ghi âm có microphone chuyên dụng chống ồn,H.264(MPEG4-AVC),Hỗ trợ 5G,1 Nano SIM & 1 eSIM,Wi-Fi hotspot,iBeacon,v5.0,Lightning,Lightning,NFC,Nguyên khối,Khung nhôm & Mặt lưng kính cường lực,Dài 146.7 mm - Ngang 71.5 mm - Dày 7.65 mm - Nặng 173 g,09/2021,iPhone (Apple). <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại iPhone 13 128GB chính hãng, giá tốt, giảm ngay 3tr, trả chậm 0% lãi suất - trả trước 0đ, hư gì đổi nấy 12 tháng, bảo hành chính hãng 1 năm. Mua ngay!",['iPhone (Apple)'],223602,223602,11990000.0,VND,,Có,,,
Điện thoại Samsung Galaxy S25 5G 12GB/256GB,17.390.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s25,Android 15,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,4.47 GHz,Adreno 830,12 GB,256 GB,223.5 GB,Không giới hạn,"Chính 50 MP & Phụ 12 MP, 10 MP",FullHD 1080p@240fps,Có,Zoom quang học,12 MP,Xóa phông,Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),"6.2"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",2600 nits,Kính cường lực Corning Gorilla Glass Victus 2,4000 mAh,Li-Ion,25 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Vision Booster,IP68,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,Wi-Fi MIMO,QZSS,v5.4,Type-C,Type-C,NFC,Nguyên khối,Khung nhôm & Mặt lưng kính cường lực,Dài 146.9 mm - Ngang 70.5 mm - Dày 7.2 mm - Nặng 162 g,01/2025,Samsung. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua Samsung Galaxy S25 256GB (bản thường) 5G giá tốt, giảm ngay 7 triệu, thu cũ giảm đến 5 triệu, trả chậm 0% lãi suất, bảo hành 1 năm chính hãng. Mua ngay!",['Samsung'],333363,333363,17390000.0,VND,,XMF,,,
Điện thoại Xiaomi Redmi Note 15 Pro 5G 8GB/256GB,10.190.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-15-pro-5g-8gb-256gb,Xiaomi HyperOS 2.2,MediaTek Dimensity 7400-Ultra 8 nhân,4 nhân 2.6 GHz & 4 nhân 2.0 GHz,Mali-G615,8 GB,256 GB,Hãng không công bố,Không giới hạn,Chính 200MP & Phụ 8 MP,HD 720p@30fps,Có,Tự động lấy nét (AF),20 MP,Xóa phông,AMOLED,1.5K (1280 x 2772 Pixels),"6.83"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3200 nits,Kính cường lực Corning Gorilla Glass Victus 2,6580 mAh,Silicon-Carbon,45 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,,"IP66, IP68, IP69, IP69K",Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,Wi-Fi MIMO,QZSS,v5.4,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa Polycarbonate,Dài 163.61 mm - Ngang 78.09 mm - Dày 7.96 mm - Nặng 204 g,01/2026,Xiaomi. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua Xiaomi Redmi Note 15 Pro 5G 12GB/256GB tặng ngay Loa Bluetooth Xiaomi Sound Outdoor, giá tốt, bảo hành rơi vỡ 2 năm, bảo hành tiêu chuẩn 2 năm. Mua ngay đến 28/2!",['Xiaomi'],360312,360312,10190000.0,VND,45 W,OGG,Có,,
Điện thoại OPPO Find X9 Pro 5G 16GB/512GB,32.990.000₫,https://www.thegioididong.com/dtdd/oppo-find-x9-pro-16gb-512gb,Android 16,MediaTek Dimensity 9500 8 nhân,4.21 GHz,Mali-G1 Ultra MC12,16 GB,512 GB,452 GB,Không giới hạn,"Chính 50 MP & Phụ 200 MP, 50 MP, 2 MP",HD 720p@480fps,Có,Zoom quang học,50 MP,Xóa phông,AMOLED,1.5K+ (1272 x 2772 Pixels),"6.78"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",1800 nits,Kính cường lực Corning Gorilla Glass Victus 2,7500 mAh,Li-Po,80 W,Sạc siêu nhanh SuperVOOC,Mở khoá vân tay dưới màn hình,Ứng dụng kép (Nhân bản ứng dụng),"IP66, IP68, IP69",Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,Wi-Fi hotspot,QZSS,v6.0,Type-C,Type-C,OTG,Nguyên khối,Khung hợp kim nhôm & Mặt lưng kính,Dài 161.26 mm - Ngang 76.46 mm - Dày 8.25 mm - Nặng 224 g,10/2025,OPPO. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua OPPO Find X9 Pro 16GB/512GB giá tốt, tặng bộ quà trị giá 10tr, thu cũ giảm đến 4tr, tặng gói Google One AI Premium 3 tháng, trả chậm 0%. Mua ngay đến 30/11!",['OPPO'],344652,344652,32990000.0,VND,80 W,OGG,,,
Điện thoại vivo Y39 5G 8GB/128GB,6.660.000₫,https://www.thegioididong.com/dtdd/vivo-y39-5g,Android 15,Snapdragon 4 Gen 2 8 nhân,2 nhân 2.2 GHz & 6 nhân 1.95 GHz,Adreno 610,8 GB,128 GB,104 GB,Không giới hạn,Chính 50 MP & Phụ 2 MP,FullHD 1080p@60fps,Có,Xóa phông,8 MP,Xóa phông,IPS LCD,HD+ (720 x 1608 Pixels),"6.68 "" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",1000 nits,Kính cường lực Shield,6500 mAh,BlueVolt,44 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Độ bền chuẩn quân đội MIL-STD 810H,IP64,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,QZSS,v5.1,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 165.7 mm - Ngang 76.3 mm - Dày 8.19 mm (Xanh) | 8.09 mm (Tím) - Nặng 206g (Xanh) | 205g (Tím),06/2025,vivo. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại vivo Y39 5G 8GB/128GB giá tốt, giảm ngay 500K hoặc tặng phiếu mua hàng trị giá 600K, trả chậm lãi suất 0%, trả trước 0đ, bảo hành 24 tháng. Mua ngay!",['vivo'],339180,339180,7160000.0,VND,44 W,WAV,,,
Điện thoại realme 15 5G 12GB/256GB,9.990.000₫,https://www.thegioididong.com/dtdd/realme-15-5g-12gb-256gb?utm_flashsale=1,Android 15,MediaTek Dimensity 7300+ 5G 8 nhân,4 nhân 2.5 GHz & 4 nhân 2 GHz,Mali-G615,12 GB,256 GB,233 GB,Không giới hạn,"Chính 50 MP & Phụ 8 MP, Flicker",HD 720p@60fps,Có,Xóa phông,50 MP,Xóa phông,AMOLED,Full HD+ (1080 x 2392 Pixels),"6.77"" - Tần số quét 144 Hz",4500 nits,Kính cường lực AGC DT-Star D+,7000 mAh,Li-Ion,80 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Tóm tắt bản ghi âm AI,"IP66, IP68, IP69",Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,QZSS,v5.4,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 163.34 mm - Ngang 75.88 mm - Dày 7.66 mm - Nặng 185 g,09/2025,realme. <span class='parameter__manu'>Xem thông tin hãng</span>,"realme 15 5G 12GB/256GB giá tốt, trả chậm 0% - trả trước 0đ, 1 đổi 1 trong 30 ngày, thu cũ trợ giá đến 1.5 triệu, bảo hành chống nước 6 tháng. Mua ngay!",['realme'],343066,343066,9990000.0,VND,80 W,WMA,,,
Điện thoại HONOR 400 5G 12GB/256GB Đen,11.990.000₫,https://www.thegioididong.com/dtdd/honor-400-5g-12gb-256gb-den,Android 15,Snapdragon 7 Gen 3 8 nhân,"1 nhân 2.63 GHz, 3 nhân 2.4 GHz & 4 nhân 1.8 GHz",Adreno 720,12 GB,256 GB,233 GB,Không giới hạn,Chính 200 MP & Phụ 12 MP,FullHD 1080p@30fps,Có,Zoom kỹ thuật số,50 MP,Xóa phông,AMOLED,1.5K (1264 x 2736 Pixels),"6.55"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",5000 nits,Kính cường lực AGC DT-Star2 Plus,6000 mAh,Silicon-Carbon,80 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Đạt chuẩn chống va đập 5 sao SGS,IP66,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,QZSS,v5.4,Type-C,Type-C,OTG,Nguyên khối,Khung kim loại & Mặt lưng kính,Dài 156.5 mm - Ngang 74.6 mm - Dày 7.3 mm - Nặng 184 g,06/2025,HONOR. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Honor 400 5G 12GB/256GB màu đen giá tốt, mua trả chậm 0% lãi suất, tặng tai nghe Honor Clip, thu cũ đổi mới trợ giá đến 1tr. Mua ngay từ 5/7 - 31/7!",['HONOR'],339638,339638,11990000.0,VND,100 W,WAV,FM không cần tai nghe,,
Điện thoại realme 15 Pro 5G 12GB/256GB,12.990.000₫,https://www.thegioididong.com/dtdd/realme-15-pro-5g-12gb-256gb?utm_flashsale=1,Android 15,Snapdragon 7 Gen 4 8 nhân,"1 nhân 2.8 GHz, 4 nhân 2.4 GHz & 3 nhân 1.8 GHz",Đang cập nhật,12 GB,256 GB,215 GB,Không giới hạn,"Chính 50 MP & Phụ 50 MP, Flicker",HD 720p@30fps,Có,Zoom kỹ thuật số,50 MP,Xóa phông,AMOLED,1.5K (1280 x 2800 Pixels),"6.8"" - Tần số quét 144 Hz",6500 nits,Kính cường lực Corning Gorilla Glass 7i,7000 mAh,Li-Ion,80 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Tóm tắt bản ghi âm AI,"IP66, IP68, IP69",Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,QZSS,v5.4,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 162.26 mm - Ngang 76.15 mm - Dày 7.79 mm - Nặng 187 g,09/2025,realme. <span class='parameter__manu'>Xem thông tin hãng</span>,"realme 15 Pro 5G 12GB/256GB giá tốt, thu cũ trợ giá đến 1.5 triệu, tặng thêm 12 tháng bảo hành chính hãng, 1 đổi 1 trong 30 ngày, giảm ngay 300K. Mua ngay!",['realme'],343067,343067,12990000.0,VND,80 W,WMA,,Đang cập nhật,
Điện thoại Motorola G86 POWER 5G 8GB/128GB,6.790.000₫,https://www.thegioididong.com/dtdd/motorola-moto-g86-5g-8gb-128gb,Android 15,Mediatek Dimensity 7400 8 nhân,4 nhân 2.6 GHz & 4 nhân 2.0 GHz,Mali-G615 MC2,8 GB,128 GB,115 GB,Không giới hạn,Chính 50 MP & Phụ 8 MP,FullHD 1080p@60fps,Có,Xóa phông,32 MP,Xóa phông,P-OLED,1.5K (1220 x 2712 Pixels),"6.7"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",4500 nits,Kính cường lực Corning Gorilla Glass 7i,6720 mAh,Li-Ion,33 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Độ bền chuẩn quân đội MIL-STD 810H,IP68 & IP69,Ghi âm mặc định,WMV,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,QZSS,v5.4,Type-C,Type-C,NFC,Nguyên khối,Khung nhựa & Mặt lưng da thuần chay,Dài 161.2 mm - Ngang 74.7 mm - Dày 8.7 mm - Nặng 198 g,11/2025,,"Điện thoại Motorola G86 5G 8GB/128GB giá tốt, thời lượng pin lên đến 53 giờ, tặng data Viettel 5G 30GB, trả chậm 0% lãi suất, nhận ưu đãi đến 1tr. Mua ngay đến 30/11!",['Motorola'],358225,358225,6790000.0,VND,33 W,WAV,,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại iPhone 15 128GB,17.990.000₫,https://www.thegioididong.com/dtdd/iphone-15,iOS 17,Apple A16 Bionic,3.46 GHz,Apple GPU 5 nhân,6 GB,128 GB,113 GB,Không giới hạn,Chính 48 MP & Phụ 12 MP,HD 720p@30fps,Có,Zoom quang học,12 MP,Smart HDR 5,OLED,Super Retina XDR (1179 x 2556 Pixels),"6.1"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid1' target='_blank'>60 Hz</a>",2000 nits,Kính cường lực Ceramic Shield,3349 mAh,Li-Ion,20 W,Tiết kiệm pin,Mở khoá khuôn mặt Face ID,Âm thanh Dolby Atmos,IP68,Ghi âm mặc định,H.264(MPEG4-AVC),Hỗ trợ 5G,1 Nano SIM & 1 eSIM,Wi-Fi MIMO,QZSS,v5.3,Type-C,Type-C,NFC,Nguyên khối,Khung nhôm & Mặt lưng kính cường lực,Dài 147.6 mm - Ngang 71.6 mm - Dày 7.8 mm - Nặng 171 g,09/2023,iPhone (Apple). <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại iPhone 15 128GB giá rẻ, chính hãng Apple, mua trả chậm 0% lãi suất, giảm đến 4 triệu, thu cũ trợ giá đến 2 triệu. Mua iPhone 15 thường ngay!",['iPhone (Apple)'],281570,281570,17990000.0,VND,,MP3,,,
